iter	Passed	Remaining
462	774	898
463	776	896
464	777	894
465	778	892
466	780	890
467	781	888
468	783	886
469	784	884
470	786	882
471	787	881
472	788	878
473	789	876
474	791	874
475	792	872
476	794	870
477	795	868
478	796	866
479	798	864
480	799	862
481	801	860
482	802	858
483	803	856
484	804	854
485	806	852
486	807	850
487	809	848
488	810	846
489	811	844
490	813	842
491	814	841
492	815	838
493	817	836
494	818	834
495	819	832
496	820	830
497	822	829
498	823	827
499	825	825
500	826	823
501	827	821
502	829	819
503	830	817
504	831	815
505	832	812
506	833	810
507	835	808
508	836	807
509	838	805
510	840	803
511	841	801
512	842	799
513	843	797
514	845	795
515	846	793
516	847	791
517	848	789
518	850	787
519	851	785
520	853	784
521	854	782
522	855	780
523	856	778
524	858	776
525	859	774
526	860	772
527	861	770
528	862	768
529	864	766
530	865	764
531	866	762
532	867	760
533	869	758
534	870	756
535	871	754
536	872	752
537	874	750
538	875	748
539	876	746
540	877	744
541	879	742
542	880	740
543	881	739
544	883	737
545	884	735
546	886	733
547	887	731
548	888	730
549	890	728
550	891	726
551	892	724
552	893	722
553	895	720
554	896	719
555	898	717
556	899	715
557	900	713
558	901	711
559	903	709
560	904	707
561	906	706
562	907	704
563	908	702
564	910	700
565	911	699
566	913	697
567	914	695
568	916	694
569	917	692
570	919	690
571	920	688
572	922	687
573	923	685
574	924	683
575	926	681
576	927	680
577	929	678
578	931	677
579	932	675
580	933	673
581	935	671
582	936	669
583	937	667
584	938	666
585	940	664
586	941	662
587	943	660
588	944	659
589	945	657
590	947	655
591	948	653
592	949	651
593	951	650
594	952	648
595	953	646
596	954	644
597	956	642
598	957	641
599	958	639
600	960	637
601	961	635
602	962	633
603	963	631
604	965	630
605	966	628
606	967	626
607	968	624
608	970	622
609	971	621
610	972	619
611	974	617
612	975	615
613	976	614
614	978	612
615	979	610
616	980	608
617	981	606
618	983	605
619	984	603
620	985	601
621	987	599
622	988	598
623	989	596
624	991	594
625	992	593
626	994	591
627	995	589
628	996	587
629	998	586
630	999	584
631	1000	582
632	1002	581
633	1003	579
634	1004	577
635	1006	575
636	1007	574
637	1009	572
638	1011	571
639	1012	569
640	1014	567
641	1015	566
642	1017	564
643	1018	563
644	1020	561
645	1021	559
646	1023	558
647	1024	556
648	1026	555
649	1027	553
650	1029	551
651	1030	550
652	1032	548
653	1033	546
654	1035	545
655	1036	543
656	1037	541
657	1039	540
658	1040	538
659	1042	536
660	1043	535
661	1044	533
662	1046	531
663	1047	530
664	1049	528
665	1050	526
666	1052	525
667	1053	523
668	1054	521
669	1056	520
670	1057	518
671	1059	516
672	1060	515
673	1062	513
674	1063	512
675	1065	510
676	1066	508
677	1067	507
678	1069	505
679	1070	503
680	1072	502
681	1073	500
682	1074	498
683	1076	497
684	1077	495
685	1079	494
686	1081	492
687	1082	490
688	1084	489
689	1085	487
690	1087	486
691	1088	484
692	1090	482
693	1091	481
694	1093	480
695	1095	478
696	1096	476
697	1097	474
698	1098	473
699	1100	471
700	1101	469
701	1102	468
702	1104	466
703	1105	464
704	1106	463
705	1108	461
706	1109	459
707	1110	458
708	1111	456
709	1113	454
710	1114	452
711	1115	451
712	1116	449
713	1117	447
714	1119	446
715	1120	444
716	1121	442
717	1123	441
718	1124	439
719	1125	437
720	1126	436
721	1128	434
722	1129	432
723	1130	431
724	1131	429
725	1133	427
726	1134	425
727	1135	424
728	1137	422
729	1138	421
730	1139	419
731	1140	417
732	1142	416
733	1143	414
734	1145	412
735	1146	411
736	1147	409
737	1149	407
738	1150	406
739	1152	404
740	1153	403
741	1154	401
742	1155	399
743	1156	398
744	1158	396
745	1159	394
746	1160	393
747	1161	391
748	1163	389
749	1164	388
750	1165	386
751	1167	384
752	1168	383
753	1169	381
754	1170	379
755	1172	378
756	1173	376
757	1174	374
758	1175	373
759	1176	371
760	1177	369
761	1179	368
762	1180	366
763	1181	365
764	1182	363
765	1184	361
766	1185	360
767	1186	358
768	1188	356
769	1189	355
770	1190	353
771	1192	352
772	1193	350
773	1194	348
774	1195	347
775	1197	345
776	1198	344
777	1200	342
778	1201	340
779	1202	339
780	1204	337
781	1205	336
782	1206	334
783	1207	332
784	1208	331
785	1210	329
786	1211	328
787	1213	326
788	1214	324
789	1215	323
790	1216	321
791	1218	319
792	1219	318
793	1220	316
794	1221	315
795	1222	313
796	1224	311
797	1225	310
798	1227	308
799	1228	307
800	1229	305
801	1230	303
802	1232	302
803	1233	300
804	1234	299
805	1235	297
806	1236	295
807	1237	294
808	1239	292
809	1240	291
810	1242	289
811	1243	287
812	1244	286
813	1245	284
814	1246	283
815	1248	281
816	1249	279
817	1250	278
818	1251	276
819	1252	275
820	1254	273
821	1255	271
822	1257	270
823	1258	268
824	1259	267
825	1261	265
826	1262	264
827	1263	262
828	1264	260
829	1265	259
830	1267	257
831	1268	256
832	1270	254
833	1271	253
834	1273	251
835	1274	250
836	1275	248
837	1277	246
838	1278	245
839	1279	243
840	1281	242
841	1282	240
842	1283	239
843	1284	237
844	1286	235
845	1287	234
846	1288	232
847	1290	231
848	1291	229
849	1292	228
850	1293	226
851	1294	224
852	1296	223
853	1297	221
854	1298	220
855	1300	218
856	1301	217
857	1302	215
858	1304	214
859	1305	212
860	1306	210
861	1307	209
862	1308	207
863	1310	206
864	1311	204
865	1312	203
866	1313	201
867	1315	199
868	1316	198
869	1317	196
870	1319	195
871	1320	193
872	1321	192
873	1322	190
874	1324	189
875	1325	187
876	1326	186
877	1327	184
878	1328	182
879	1330	181
880	1331	179
881	1333	178
882	1334	176
883	1335	175
884	1336	173
885	1337	172
886	1339	170
887	1340	169
888	1341	167
889	1342	165
